dataset_size,dim,n_queries,k,m,ef_construction,ef_search,recall@k,avg_query_time,build_time,base_size,timestamp
5000,128,500,10,16,200,50,0.803,0.0045269570350646975,143.00975155830383,4500,2025-09-11 10:05:57
5000,128,500,10,16,200,100,0.9436,0.007123753070831299,143.00975155830383,4500,2025-09-11 10:06:01
5000,128,500,10,16,200,150,0.9818000000000002,0.00924101209640503,143.00975155830383,4500,2025-09-11 10:06:06
5000,128,500,10,16,200,200,0.994,0.010618464946746826,143.00975155830383,4500,2025-09-11 10:06:11
5000,128,500,10,16,200,300,0.999,0.01255576229095459,143.00975155830383,4500,2025-09-11 10:06:17
5000,128,500,10,16,200,400,0.9996,0.01383024549484253,143.00975155830383,4500,2025-09-11 10:06:24
5000,128,500,10,16,300,50,0.797,0.004601935386657715,142.36892461776733,4500,2025-09-11 10:08:49
5000,128,500,10,16,300,100,0.9426000000000001,0.007193450927734375,142.36892461776733,4500,2025-09-11 10:08:52
5000,128,500,10,16,300,150,0.9818000000000001,0.009210907936096191,142.36892461776733,4500,2025-09-11 10:08:57
5000,128,500,10,16,300,200,0.9944000000000001,0.010794033050537109,142.36892461776733,4500,2025-09-11 10:09:02
5000,128,500,10,16,300,300,0.9987999999999999,0.012848668098449707,142.36892461776733,4500,2025-09-11 10:09:09
5000,128,500,10,16,300,400,0.9996,0.014127556324005128,142.36892461776733,4500,2025-09-11 10:09:16
5000,128,500,10,16,400,50,0.7976000000000001,0.004533064365386963,146.169851064682,4500,2025-09-11 10:11:44
5000,128,500,10,16,400,100,0.9434000000000001,0.00828886365890503,146.169851064682,4500,2025-09-11 10:11:49
5000,128,500,10,16,400,150,0.9822000000000001,0.009127981185913086,146.169851064682,4500,2025-09-11 10:11:53
5000,128,500,10,16,400,200,0.9946,0.010789287090301514,146.169851064682,4500,2025-09-11 10:11:58
5000,128,500,10,16,400,300,0.9992000000000001,0.012740850448608398,146.169851064682,4500,2025-09-11 10:12:05
5000,128,500,10,16,400,400,0.9997999999999999,0.01393328332901001,146.169851064682,4500,2025-09-11 10:12:12
5000,128,500,10,16,300,20,0.5384,0.0026597442626953125,145.96980118751526,4500,2025-09-11 15:40:40
5000,128,500,10,16,300,30,0.6534,0.0038318076133728026,145.96980118751526,4500,2025-09-11 15:40:42
5000,128,500,10,16,300,40,0.7362000000000001,0.004174858570098877,145.96980118751526,4500,2025-09-11 15:40:44
5000,128,500,10,16,300,50,0.7966,0.004696199893951416,145.96980118751526,4500,2025-09-11 15:40:46
